,Nama Kota,Pravalensi Balita Stunting,Indeks Daya Beli,Persentase Perempuan Menikah di Bawah 17 Tahun,Indeks Kesehatan,Indeks Pendidikan
,Kabupaten Pacitan,20.6,0.68,14.99,0.81,0.61
,Kabupaten Ponorogo,14.2,0.71,20.07,0.82,0.63
,Kabupaten Trenggalek,19.5,0.7,20.01,0.83,0.6
,Kabupaten Tulungagung,17.3,0.73,15.42,0.84,0.65
,Kabupaten Blitar,14.3,0.73,15.4,0.83,0.6
,Kabupaten Kediri,21.6,0.75,13.77,0.81,0.64
,Kabupaten Malang,23,0.71,17.12,0.81,0.62
,Kabupaten Lumajang,23.8,0.68,29.98,0.78,0.55
,Kabupaten Jember,34.9,0.7,32.91,0.76,0.59
,Kabupaten Banyuwangi,18.1,0.77,23.25,0.79,0.61
,Kabupaten Bondowoso,32,0.73,45.83,0.73,0.57
,Kabupaten Situbondo,30.9,0.71,37.99,0.76,0.59
,Kabupaten Probolinggo,23.3,0.74,41.61,0.74,0.55
,Kabupaten Pasuruan,20.5,0.72,21.1,0.78,0.6
,Kabupaten Sidoarjo,16.1,0.82,4.91,0.84,0.77
,Kabupaten Mojokerto,11.6,0.78,14.85,0.81,0.65
,Kabupaten Jombang,22.1,0.75,12.06,0.81,0.66
,Kabupaten Nganjuk,20,0.77,17.34,0.8,0.62
,Kabupaten Madiun,17.6,0.75,17.54,0.8,0.63
,Kabupaten Magetan,14.9,0.76,12.99,0.81,0.67
,Kabupaten Ngawi,28.5,0.75,16.62,0.81,0.6
,Kabupaten Bojonegoro,24.3,0.71,23.74,0.8,0.6
,Kabupaten Tuban,24.9,0.72,22.61,0.8,0.58
,Kabupaten Lamongan,27.5,0.75,16.45,0.81,0.65
,Kabupaten Gresik,10.7,0.79,9.97,0.82,0.7
,Kabupaten Bangkalan,26.2,0.67,13.15,0.78,0.52
,Kabupaten Sampang,6.9,0.67,19.92,0.74,0.51
,Kabupaten Pamekasan,8.1,0.67,20.91,0.74,0.6
,Kabupaten Sumenep,21.6,0.68,26.43,0.8,0.57
,Kota Kediri,21.6,0.78,5.82,0.84,0.76
,Kota Blitar,12.8,0.81,8,0.83,0.74
,Kota Malang,18,0.86,6.26,0.83,0.78
,Kota Probolinggo,23.3,0.77,18.18,0.78,0.68
,Kota Pasuruan,21.1,0.8,10.75,0.8,0.69
,Kota Mojokerto,11.6,0.81,8.16,0.83,0.74
,Kota Madiun,9.7,0.85,4.14,0.82,0.78
,Kota Surabaya,4.8,0.89,6.82,0.84,0.76
,Kota Batu,25.2,0.78,15.2,0.81,0.7
